iter	Logloss
0	0.6776363718
1	0.6643269495
2	0.6536463392
3	0.6436203843
4	0.6359374711
5	0.6281671789
6	0.6224389085
7	0.6171124799
8	0.6132303693
9	0.6101218766
10	0.6065339201
11	0.6043353174
12	0.6026984983
13	0.5999570116
14	0.5973803451
15	0.5952738191
16	0.5928324129
17	0.5912416321
18	0.5895413568
19	0.5882310342
20	0.5870328082
21	0.585800469
22	0.5848292548
23	0.5839204489
24	0.5823045169
25	0.5812217121
26	0.5797056985
27	0.5790117985
28	0.5780362479
29	0.5774357255
30	0.5765417358
31	0.5757846324
32	0.5750036426
33	0.5742018741
34	0.5734420966
35	0.572646363
36	0.5719878048
37	0.5713007708
38	0.5705793346
39	0.5697017148
40	0.5691087451
41	0.5682328237
42	0.5675282634
43	0.5669754778
44	0.5663366143
45	0.5656590843
46	0.5651614797
47	0.5646409283
48	0.5642173681
49	0.5634487371
50	0.5627262529
51	0.5619871095
52	0.5615522747
53	0.5610095714
54	0.5602316893
55	0.5596847941
56	0.5592652451
57	0.5586895488
58	0.5580961816
59	0.5576158143
60	0.5571075855
61	0.5565170369
62	0.5561005596
63	0.5557162441
64	0.5553390837
65	0.5550149361
66	0.5547187945
67	0.5541230422
68	0.553403449
69	0.5526248442
70	0.5520957644
71	0.551766919
72	0.5513579581
73	0.5508351662
74	0.550373843
75	0.5497444474
76	0.5491378902
77	0.5487111138
78	0.5482811575
79	0.5478668123
80	0.5474922898
81	0.5469351317
82	0.5464752541
83	0.5461843523
84	0.5456224964
85	0.545274643
86	0.5444805717
87	0.5438247599
88	0.5433288899
89	0.5428448367
90	0.5423284771
91	0.5417763059
92	0.5412506591
93	0.540726241
94	0.5400977488
95	0.5393265882
96	0.538562655
97	0.5377014052
98	0.5371359717
99	0.5366600854
100	0.5359349632
101	0.5353403312
102	0.5349596293
103	0.5342810514
104	0.5336934299
105	0.5332136047
106	0.5325349183
107	0.5318611466
108	0.530978034
109	0.5303763553
110	0.5297685333
111	0.5294911468
112	0.5288706407
113	0.5283546425
114	0.5277125628
115	0.5269184192
116	0.5261434281
117	0.5255491213
118	0.5248449223
119	0.5243497389
120	0.5238292958
121	0.5232302551
122	0.5228165242
123	0.5222866856
124	0.5216205026
125	0.5207945223
126	0.5199134334
127	0.519213607
128	0.5187126056
129	0.5180845108
130	0.5175192581
131	0.5167192964
132	0.515996776
133	0.5157356872
134	0.5150135643
135	0.5143794347
136	0.5137566521
137	0.5129323342
138	0.5122627543
139	0.5116453922
140	0.5112345884
141	0.5104719199
142	0.5098749751
143	0.5091800995
144	0.5084559168
145	0.5080398731
146	0.5075052644
147	0.5070610701
148	0.506475653
149	0.5060590673
150	0.5055162194
151	0.5049348857
152	0.5043533352
153	0.5037710981
154	0.5032394165
155	0.5025970838
156	0.5020722321
157	0.5015079189
158	0.5012865445
159	0.5007273989
160	0.499995772
161	0.4994194975
162	0.4986799928
163	0.4985415525
164	0.4980661721
165	0.4976230258
166	0.4970528945
167	0.4965612887
168	0.4960605764
169	0.4954465388
170	0.495007476
171	0.4945197729
172	0.4940367677
173	0.4936349258
174	0.4932103177
175	0.4927418033
176	0.4923256151
177	0.4918329251
178	0.4914397922
179	0.4907876303
180	0.4904224312
181	0.4898807397
182	0.4893270869
183	0.4891924771
184	0.4884900126
185	0.4878417535
186	0.4872289446
187	0.4866219538
188	0.4861249997
189	0.4855034096
190	0.4851781056
191	0.4844546456
192	0.4839566074
193	0.4834521007
194	0.4829880312
195	0.4824629265
196	0.48213961
197	0.4817914313
198	0.481385253
199	0.480852668
200	0.4802582528
201	0.479569954
202	0.479204502
203	0.4791090284
204	0.4787092824
205	0.4782131595
206	0.4776608076
207	0.4772053747
208	0.4766304734
209	0.4761698007
210	0.475676641
211	0.475154102
212	0.4747252659
213	0.4743185456
214	0.4739931331
215	0.4736361371
216	0.4733220716
217	0.473056791
218	0.4724995244
219	0.4719353919
220	0.4716286623
221	0.4710394146
222	0.4704101273
223	0.4699379631
224	0.4695742456
225	0.4688573265
226	0.4686133304
227	0.4680586296
228	0.4675595434
229	0.4670108775
230	0.4665661773
231	0.4661777783
232	0.4658307922
233	0.4654073043
234	0.4650258798
235	0.4643736456
236	0.4638336525
237	0.4633637288
238	0.4629117289
239	0.4622799843
240	0.4619732185
241	0.4616704278
242	0.4611489368
243	0.4608990142
244	0.4603388568
245	0.4598497805
246	0.4595298248
247	0.4591691789
248	0.4586586373
249	0.4585798951
250	0.4580947939
251	0.4575325044
252	0.4570250706
253	0.4565199134
254	0.4560507124
255	0.4556551945
256	0.4553941057
257	0.4548088331
258	0.4544113999
259	0.4539208059
260	0.4533786808
261	0.4530839485
262	0.4526998137
263	0.4522020285
264	0.4518922994
265	0.4513503911
266	0.4509590289
267	0.4504667365
268	0.4500515601
269	0.4497167882
270	0.4491929483
271	0.4487549695
272	0.4484093205
273	0.4480119596
274	0.4477742152
275	0.4473330202
276	0.4470907226
277	0.4466383253
278	0.4463778869
279	0.4459899577
280	0.4456969962
281	0.4452305416
282	0.4449566965
283	0.4444717037
284	0.4440371579
285	0.4435011038
286	0.4431377115
287	0.4428564222
288	0.4423802468
289	0.4420854061
290	0.441812609
291	0.4417465508
292	0.441168614
293	0.4408499592
294	0.4404530319
295	0.4399882396
296	0.4396408921
297	0.4390147849
298	0.4385087604
299	0.43799746
